pkg_name,sha256,vercode,with_iot_lib
com.gsetech.smartiptv,08AE241BB52D274C96D3BEE99CDE9A42CCAD11C8265FEDE273498A64811229D5,70,0
com.doosanconnect.app,FC42F2D3437DAEA017F0D9961FD93E4ADB8DFB3E54850418C414DC255913125C,10504,0
tw.com.amma.eHOME,DE034C448FAC8D58A63AB17207AA8C867276EF5A2104B46EECA7129C51FC3B0E,115,1
com.vs98.tsapp,99A3C2E2D70C9ECAC439EF56603D3E4B2A2714AE5A6B813DBC2A22E4A33C880C,80,1
com.desiderata.ihuntNA,999B2959DE5A2FB9ABBA980F5B0E4E779FD3DE3AC9FFA65A1D101F55056631A5,213,0
com.geckoportal.intouch2,9774CD07AB99759752BC349C46635894D8FDF815C0218B9EF2D5E82B183BB04B,450,0
com.competitionelectronics.prochrono.app,7A83A188E6EF02FE9ACF8379375EA30B332BBC095F344DD088F602D4BC62C575,17700,0
com.fmvideo.FMVideo,5C05BEC2FDC2AE840D6CEB611C19DC45F8444D0725A4D85E383E86D3BDEB8757,240,0
co.uk.leesbingo.remotecontrol,07D12036B05EEE923BE09BBC61E707C5404253224EB27651C07018DAEE2FAA7C,2,0
de.appomotive.bimmercode,D17C6414A9F3CCF09E4F937D8E0F47DE2C1B790506908CAC28A1FAC04FC4BBBF,7484,1
com.mm.android.smartlifeiot,0741F673A1FF092F784FE1864BB7DED1F6ED4EDB6F15F4156D0B0FB8354F9B25,500071,1
com.risingsun.lunvon,B50BC6B7818CC3110EA4550A3EE255C044EF67EDB0173F0E475C52E83E5D8B25,10800,1
com.kiiot.eurostersmart,45F4D679106758CA9EBBD49921E73AFA4F3EE2F0FF635276E67B6D08B02DFB73,2,1
com.agenturueberall.gfa4,183E20AC56B7E334B9F16D0D461B03D7C94B5DF615AD987238D9E38062E8ACAC,107,1
info.foreverycast.perionatural,59C2D4083D08DA27916A9F793CE1E1EBA6E334523A14F7FA854613C08C043D2A,23,0
de.humatic.tdf,6CA9064D6A7084C37FFD10856295C652378F89CA12BB61FBCCE872E50BFB50E8,210,0
com.citytheatrical.DMXcat,EA1CD9097CF0A92EF16A31B0859258FB1EA95B7C05BE0AFBA45983F57375BE89,581,1
com.dometic.cfx3,EA7E0779DA06014D60155BEFA5A9FB026201AF81AAD640391571EDFB1958D99F,7,0
com.tworks.thermoworks_app,8A275BD01721D9BBA6E8B72D75923701CF24E073A3556093BFF07714116CBFEB,137,0
com.adt.pulse,184A9C19EDEB9E1641A0E7512D84CA4336F1AAB37BDF260CC07990A71C55A983,14351,1
com.marscommerce.eiscontrol,D494B19AB3CDED4A6E74E8BF4EAD4BB8BAE04A178D9ABF3B4FB8DD70C63EE28B,27,0
datosapp.datos_healthad.com.unified,2897E95372A63DA28281C0BEC153946C089F738D6897AA045209E33E0E1979A9,1855,1
com.dell.omm,55E10E164C24C44A040A6DBC3D141ED308BDA9A98081817BD9F31BAE38E1A992,36,0
com.thorflasher.app,8860E9C4B2ABBFB8547D30B97D2EA572C368F0CC60CB0E7A2FA119ED61EAC09B,404240,0
org.openhab.habdroid.beta,4F118D0FEDA5BBDE4FB125B28C1C14410B3395D8E421797231DE012B8F50C38C,394,1
com.ceilcell.importproject,002741CDB9F37236FB5C12E4F788992FB1DF62BF655D5DF67DA07F5598E85737,25,0
com.smartcharger.lionapp,DA2A2548714B05A1E35F7E6C580147420DDDB5B7E42D0B8793194EB95291DDA5,18,0
in.remotify.www.genusremotecontrol,0027DCF4839B8341B218A3CDF10A9B2D8AA3894847F1A31C5DD4DB2A9C4A4ABD,1,0
macs.app.vmax,20BB9EE892477F4DE1CC942610DF420B8DBD02A2E7E07DAC570D5026DE0729A2,3710,1
com.ellingson.pumpvital,41E54E998862AE67E400FABC0B344FB37D2ECE8A068E288F8D87F1B3CB6B16B5,16,0
com.ggmview.client,3463EFC8C10D7F291FE070A9698A1C0E8100A5D7F222961258A19D5B6E3CC71B,320,1
ru.web_site.easycamera,37FA14D3D40B5B36552AE689576CA02B33ED1D59BBA6E7281A25AC8D85467C07,30,0
com.themeatstick.app,F1C77C4F3FC52E358671D317E9362440DA9544C9743E136866AAD8CDE965B4F9,148,0
com.m365downgrade,F5A100A52992CB39D873F01AE3D3D8C9FED310EABFDCE3E9ECA5B24C034C3D42,35,0
com.a0soft.gphone.aprofile,4E18001EA17820A2D3321878EC1284FD08F0E7E71545AFF13BD2E5CE5E6A40FC,160003049,0
com.remoteit,391DBDFC460E4A81D086862DB0DCBD13F6947CDB5BCA029A066C7BBD71B0D2D0,117,0
com.tenminds.motionpillow,65CD236E19F84D441F656DB930FA1A3C28D40BA2B7CC533B17C2AEFEC9D687FC,15,1
com.brainasoft.remote_wifi_mouse,002A64A5DF252AF369F161610637D505D6BBCCCE097571A38FD73F337B9C402F,3,0
com.kinomap.kettmaps,523F38ACBDDD33BD3FC74C037CFC5D04588356A0103922D8F87AA5D8F8165EAE,190,1
com.rsupport.rsperm.ab.a2th,3412E0E8CB4BFAA350B664015B9799D16547FB306B7E4C3FF28490F2980B89D6,303,1
com.mobile.loki,20C6A82B98402D96919818DCE3C9392AD81C08E825D8047219964DA65E7A4CC2,2806,0
com.speedgauge.tachometer.speedometer,E38FA68177F39960C3280B50A99B3043D7A5A128DEAD2DCEDAC5FDF67DA8108B,108,0
com.bose.bosemusic,406DF4BB8DA4A2BBEC4A85BE6D765ABD8EEB977320954F4A5FC20C7AD92793D9,17512,1
io.hylink.hra,002C3954A8921261200CF8C4238C27A770C3B6F16E3532270637FD93DE3BE6B2,2,1
com.sidc.guest.jasperbanqiao,38F7444E2DD778AC6A8D2D615FEA4FBA2BF42D58C75238E1961AB62DB84487BA,457,1
com.smappee.app,0EB9FC493BE564847D21D01B5B4512096F85C1E323A628BE0CC39DC7AD706C5F,200000118,1
com.wdc.wdremote,48950A55E69AF1EC2C4D35D1E35E82C48D662DAA8610319C622962ED97A84682,11,0
com.gps.speedometer.odometer.speedtracker.pedometer.stepcounter,F7302341B5126CFF2BE5D304D1CA3A9FFE807683CE52D7103B1606EB0679894D,5,0
com.socomec.ewire,729C594B184D9E1548ADDF19028265433F3E0FAA309EF67A4CCFBC7A40A51D70,28,0
com.averdigi.iviewer_hd,7EEF19DC524FB0683EA9A5050DE3F2FE8AAE468E73E94AC1B552C983B1A583AF,18,0
nl.tudelft.trustchain,3CC40C5C209021AF969175893D8C0ABF8CC7EFADA4A0DDE0F8358B34E15E25E1,1629,0
com.watch.richface.shield,2461B4684F871B41CD953702A1AB24D40006ACD9319AB38CF115966C91AC348B,27,0
com.scorpionauto.scorpionapp.vts,0286AB9BBE89E99843A001FC0CACFD778CC017848F3D24A8C0A46910ABF266E2,390,1
easemind.client.controlclientmobile,002F4DE5EC89316E02B2CFB854D571A0F10C75E01D26203E35E4995275D68441,1,0
com.ifit.wolf,34B73C668CC9D4345A5712A0923FD946FDA8E8B54C96E0E0933735A4B24B9EF1,2702,1
macrochip.app.sjgps,D152164E6325502D213E1F568F4E16A54E4EA7A5912C44EB954B0710EA9002D7,60,1
com.netatmo.thermostat,700B6CEA6995EB31896FB262184EEB3B75640C2EDE4543A9D29A5D229C695258,43050400,1
com.dehon.climalife.fgassolution,72F856B608D34B9DFBA3CD8D3F451BE2EEA7C8D6FAAF68CEB31E2A4BB7223319,20103,0
com.elgato.eyetv.netstream,B6EBDE358CC801625982B117E26376FBCED116D211837456456E0A2361F70463,1535,1
com.martinloren.stm32utils,FB03ACD335ED31EF75D499B4E0A83C3782A78DBE5C377462967CD47634C2E066,53,0
cc.blynk,D029FB38232A0241A28863576ADBD5C39E5C01C28F06C3C980D956564937DAC2,2279807,1
de.dewertokin.froliremote,0031EF94CB7C74D4AC2F15EC02830DCD10CFA9D98999720B058B70E4D294DB89,10,1
com.octet.octetsensble,C2714ADA2E4D55FB342F72162D18B79768ACED382F6E6B7EE56378684A630DB7,34,0
com.psa.mym.myds,01DB6E36496A8248634E3EE63C091EDD2A70F9C6A50AA66CAFFBC5EE375991FC,2123,0
com.appworld.wifiroutersettings,3CC677349A2214DA20AF34129CB6C8914223D01ABCC9E24F13BF684E872CDA94,16,0
com.espritapps.routeradmin,0033EC166E89033928AABD89F4180BFB96C0076DA31266DEA503131D4A2E311A,5,0
com.bosch.diy.plr,05810527A6EB52A50CE2F46108919047EDE7784C359A84F434CF9581DC349705,115,0
com.idealSmart.idealSmart,8FFC83F2AE047EA8B0225AB6995838938EA47A8998E4E0CA684DCC744C10FA86,22057,0
net.safelagoon.lagoon2,89E02DAE0BFF47ED2209D4FC8CA0D2C8DDE4C16497136F37E1C4EE559BC2FE78,44303,0
com.deere.myoperations,BF4E6652170ACFFF82B590D5AEAFCE73D077135C8A1BC27C1E64199EF0DD37DB,502007665,0
com.resqbutton.resQ,2A71E9A1421F490CB076BB4E480C894F4533A65D00E21CBD3DE2D9F754304979,74,0
com.friser.remote.control,44D6D397EB185F869CC45B7048618CC0B7C20271432DAA058E871884AA39B3EA,14,0
com.groupe.safamis.afgs,6D0D84671CF7506360B3445B8BD5D5382E600B459047647D110500774EB4B5A4,19,0
pl.baggus.barometr,E12E55836598CCE768A5D2430E8F5A4BCDA5968B775B50AA38FD3ACCA9CF6CDE,76,0
com.prograssing.android.tvlcdemo,0035DB6BC798EFECEA5F7E823437D6B2BA64538F461BE41F91825508A05C51FE,183,1
com.lefu.healthasakuki,003636EE2BE225E68CE4E8CBE5BE49351F38CB69B1C188AFF09ED9170D6FBDAA,1,1
com.consumerapp.okinawa,B8C78599DC21C561DC8BE4FF60F133D1B075BC24D9D9C78F13294C046E52F183,103,0
com.seamtechnic.seamapp,FB7E1AA8FC496E82007E11120DCC719B5897790500F445F6F09E8F2411049D0C,45,0
com.crrepa.band.lenovo.sports,1A62E42767558B3E8F1A667BC5331BA4FF1E04AC1988D11492325BDF00404EFB,6276,1
com.johnboysoftware.jbv1,EFC54938A374EA4A3F5CB833AC0319554CA7EC5CCDD12365ABF3C2B945374594,20904,0
com.shotscope,4A29DD79EFAF32FC570834DBE43195147BC21BD40B1D5BFF5E34D5241D0A1CA7,255,0
biz.naman.alarmsystemlite,00371AD796566E9F4337D07578ADE7985B77081F192C3CD3E09E15E4049DAFE2,2,0
asd.vector.indicators,0301638B02645BEE0EAE80B05D96B761309C3B40AD12EB0A328BFD6A0AADE0F6,73,0
ru.navigation_expert.navsensorrecorder,EFF1DD31EA37C546BB875F2F48253AD1068A68EEE5B62CD579C6BD73B5806198,19,0
com.pocketwood.myav_trial,D387EE50FD17C755D858A9CA052DE9B93200C36477A4A7A7757C14FAB31F0BD4,331,1
